"last_name, first_name",player_id,year,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,avg,slg_percent,on_base_percent,on_base_plus_slg,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Rengifo, Luis",650859,2022,489,511,129,86,22,4,17,79,17,15.5,3.3,0.264,0.429,0.294,0.723,0.314,0.296,31.1,5.4,33.6,98.09743639,93.096324743,21.5,55.7
"Freeman, Freddie",518692,2022,612,708,199,129,47,2,21,102,84,14.4,11.9,0.325,0.511,0.407,0.918,0.393,0.403,42.9,9.9,47.8,100.761588016,95.094269494,19.5,49.3
"Hays, Austin",669720,2022,535,582,134,81,35,2,16,114,34,19.6,5.8,0.25,0.413,0.306,0.719,0.314,0.298,32.3,5.2,37.7,98.997922429,93.543165976,23.5,51
"Mancini III, Trey",641820,2022,519,587,124,82,23,1,18,135,53,23,9,0.239,0.391,0.319,0.71,0.312,0.327,39.6,9.8,40.4,100.078586134,94.256654381,27.4,48.1
"Benintendi, Andrew",643217,2022,461,521,140,109,23,3,5,77,52,14.8,10,0.304,0.399,0.373,0.772,0.342,0.334,39.2,5.1,38.7,98.21078057,93.391636347,20.7,48.2
"Suárez, Eugenio",553993,2022,543,629,128,71,24,2,31,196,73,31.2,11.6,0.236,0.459,0.332,0.791,0.344,0.339,36.4,14.8,43.5,100.691818466,94.681885812,33.1,41.8
"Yelich, Christian",592885,2022,575,671,145,102,25,4,14,162,88,24.1,13.1,0.252,0.383,0.355,0.738,0.328,0.339,30.3,8.2,48.6,102.984892126,96.020852446,25,43.2
"Lindor, Francisco",596019,2022,630,706,170,114,25,5,26,133,59,18.8,8.4,0.27,0.449,0.339,0.788,0.342,0.331,29.2,8.3,41.3,99.740565418,94.14308743,22.9,47.8
"Voit III, Luke",572228,2022,500,568,113,69,22,0,22,179,55,31.5,9.7,0.226,0.402,0.308,0.71,0.311,0.322,34.6,14.7,44.3,101.411871585,94.98573844,37.6,52
"Escobar, Eduardo",500871,2022,495,542,119,69,26,4,20,129,40,23.8,7.4,0.24,0.43,0.295,0.725,0.311,0.314,38.7,9.4,37.6,99.290072903,93.799689784,27.7,52.4
"Rojas, Josh",668942,2022,443,510,119,84,25,1,9,98,55,19.2,10.8,0.269,0.391,0.349,0.74,0.326,0.305,33.5,4.5,36.1,98.050444128,93.265048338,22.2,41
"Bichette, Bo",666182,2022,652,697,189,121,43,1,24,155,41,22.2,5.9,0.29,0.469,0.333,0.802,0.347,0.334,33.3,9.6,50.3,102.743171296,96.003278846,23,55.9
"Grisham, Trent",663757,2022,451,524,83,48,16,2,17,150,57,28.6,10.9,0.184,0.341,0.284,0.625,0.28,0.296,25.5,8.1,35.5,99.46593125,93.84436934,26.2,38.7
"Pollock, AJ",572041,2022,489,527,120,79,26,1,14,98,32,18.6,6.1,0.245,0.389,0.292,0.681,0.297,0.317,32.9,9.4,42,100.414319188,94.34853632,24.7,53.6
"Castellanos, Nick",592206,2022,524,558,138,98,27,0,13,130,29,23.3,5.2,0.263,0.389,0.305,0.694,0.304,0.302,36.9,6.6,35.1,98.393032843,93.293370431,32.2,57
