"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Holmes, Clay","605280","2024","219","142",0.256,0.214,0.04200000000000001,0.337,0.304,0.03300000000000003,0.288,0.261,0.02699999999999997,"2.82","2.74","0.084"
"Stratton, Chris","608717","2024","218","145",0.225,0.243,-0.017999999999999988,0.368,0.376,-0.008000000000000007,0.309,0.325,-0.016000000000000014,"4.80","4.37","0.426"
"Kelly, Kevin","687330","2024","218","158",0.25,0.257,-0.007000000000000006,0.407,0.393,0.013999999999999957,0.298,0.297,0.0010000000000000009,"3.52","3.59","-0.068"
"Hader, Josh","623352","2024","218","115",0.167,0.166,0.0010000000000000009,0.328,0.333,-0.0050000000000000044,0.25,0.251,-0.0010000000000000009,"3.35","2.54","0.815"
"Morejon, Adrian","670970","2024","218","141",0.254,0.223,0.031,0.386,0.345,0.041000000000000036,0.302,0.28,0.021999999999999964,"2.79","3.17","-0.383"
"Helsley, Ryan","664854","2024","217","135",0.22,0.215,0.0050000000000000044,0.283,0.305,-0.02200000000000002,0.258,0.266,-0.008000000000000007,"2.56","2.85","-0.287"
"Clase, Emmanuel","661403","2024","216","157",0.154,0.218,-0.064,0.199,0.307,-0.10799999999999998,0.174,0.246,-0.07200000000000001,"0.61","2.44","-1.833"
"Gaddis, Hunter","683769","2024","216","147",0.154,0.188,-0.034,0.244,0.306,-0.062,0.203,0.242,-0.03899999999999998,"1.38","2.36","-0.979"
"Barnes, Jacob","606930","2024","216","157",0.242,0.271,-0.029000000000000026,0.384,0.428,-0.043999999999999984,0.288,0.321,-0.03300000000000003,"3.35","4.25","-0.896"
"Jax, Griffin","643377","2024","215","130",0.176,0.19,-0.014000000000000012,0.266,0.307,-0.04099999999999998,0.217,0.238,-0.02099999999999999,"1.79","2.28","-0.491"
"Cabrera, Génesis","650893","2024","215","149",0.249,0.232,0.016999999999999987,0.411,0.366,0.044999999999999984,0.32,0.304,0.016000000000000014,"3.31","3.77","-0.464"
