"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Garver, Mitch","641598","2024","373","201",0.165,0.18,-0.014999999999999986,0.327,0.339,-0.01200000000000001,0.277,0.29,-0.012999999999999956
"Jeffers, Ryan","680777","2024","372","257",0.233,0.236,-0.002999999999999975,0.472,0.421,0.05099999999999999,0.337,0.322,0.015000000000000013
"Lopez, Nicky","670032","2024","368","281",0.242,0.231,0.010999999999999982,0.296,0.291,0.0050000000000000044,0.272,0.266,0.006000000000000005
"Freeman, Tyler","671289","2024","368","272",0.211,0.24,-0.028999999999999998,0.328,0.347,-0.01899999999999996,0.286,0.304,-0.018000000000000016
"Bailey, Patrick","672275","2024","366","254",0.233,0.259,-0.025999999999999995,0.344,0.401,-0.05700000000000005,0.283,0.322,-0.039000000000000035
"Moore, Dylan","664238","2024","366","210",0.2,0.198,0.0020000000000000018,0.374,0.333,0.04099999999999998,0.303,0.292,0.01100000000000001
"Renfroe, Hunter","592669","2024","365","265",0.236,0.225,0.010999999999999982,0.391,0.36,0.031000000000000028,0.306,0.291,0.015000000000000013
"Ruiz, Keibert","660688","2024","364","311",0.229,0.257,-0.027999999999999997,0.368,0.368,0,0.273,0.288,-0.014999999999999958
"Toro, Abraham","647351","2024","363","277",0.241,0.249,-0.008000000000000007,0.351,0.372,-0.02100000000000002,0.284,0.294,-0.010000000000000009
"Pederson, Joc","592626","2024","361","216",0.292,0.281,0.010999999999999954,0.553,0.519,0.03400000000000003,0.409,0.395,0.013999999999999957
"Bader, Harrison","664056","2024","361","259",0.255,0.253,0.0020000000000000018,0.381,0.384,-0.0030000000000000027,0.297,0.3,-0.0030000000000000027
"Marsh, Brandon","669016","2024","360","202",0.24,0.236,0.0040000000000000036,0.404,0.406,-0.0020000000000000018,0.314,0.322,-0.008000000000000007
"O'Neill, Tyler","641933","2024","359","198",0.262,0.222,0.04000000000000001,0.524,0.494,0.030000000000000027,0.37,0.342,0.02799999999999997
"McCarthy, Jake","664983","2024","358","262",0.304,0.273,0.030999999999999972,0.457,0.388,0.069,0.361,0.329,0.03199999999999997
"Pham, Tommy","502054","2024","358","250",0.263,0.282,-0.01899999999999996,0.393,0.431,-0.03799999999999998,0.319,0.341,-0.02200000000000002
"Estrada, Thairo","642731","2024","358","273",0.217,0.225,-0.008000000000000007,0.349,0.34,0.008999999999999952,0.259,0.262,-0.0030000000000000027
"Joe, Connor","656582","2024","357","244",0.232,0.215,0.017000000000000015,0.367,0.318,0.04899999999999999,0.299,0.276,0.022999999999999965
"Kiner-Falefa, Isiah","643396","2024","355","281",0.28,0.253,0.027000000000000024,0.412,0.36,0.05199999999999999,0.32,0.292,0.028000000000000025
"Yastrzemski, Mike","573262","2024","355","228",0.24,0.219,0.02099999999999999,0.417,0.374,0.04299999999999998,0.314,0.29,0.02400000000000002
"Raley, Luke","670042","2024","353","211",0.233,0.216,0.017000000000000015,0.426,0.396,0.02999999999999997,0.32,0.301,0.019000000000000017
"Melendez, MJ","669004","2024","353","238",0.206,0.246,-0.04000000000000001,0.412,0.437,-0.025000000000000022,0.292,0.319,-0.027000000000000024
"Schuemann, Max","680474","2024","352","217",0.233,0.218,0.015000000000000013,0.323,0.343,-0.020000000000000018,0.297,0.3,-0.0030000000000000027
"Miranda, Jose","669304","2024","351","282",0.306,0.266,0.03999999999999998,0.486,0.423,0.063,0.355,0.318,0.03699999999999998
"Polanco, Jorge","593871","2024","350","202",0.222,0.229,-0.007000000000000006,0.367,0.414,-0.046999999999999986,0.297,0.316,-0.019000000000000017
"Contreras, Willson","575929","2024","346","197",0.257,0.256,0.0010000000000000009,0.466,0.459,0.007000000000000006,0.365,0.362,0.0030000000000000027
"Tatis Jr., Fernando","665487","2024","345","238",0.279,0.309,-0.02999999999999997,0.468,0.553,-0.08500000000000002,0.357,0.4,-0.04300000000000004
"Stanton, Giancarlo","519317","2024","345","214",0.24,0.253,-0.013000000000000012,0.47,0.514,-0.04400000000000004,0.33,0.351,-0.020999999999999963
"Rocchio, Brayan","677587","2024","345","241",0.209,0.225,-0.016000000000000014,0.319,0.331,-0.01200000000000001,0.276,0.287,-0.010999999999999954
"Tellez, Rowdy","642133","2024","343","244",0.245,0.241,0.0040000000000000036,0.392,0.392,0,0.298,0.299,-0.0010000000000000009
"Abreu, Wilyer","677800","2024","341","211",0.265,0.229,0.036000000000000004,0.5,0.447,0.05299999999999999,0.354,0.324,0.02999999999999997
"Benson, Will","666181","2024","341","170",0.189,0.183,0.006000000000000005,0.377,0.338,0.03899999999999998,0.285,0.269,0.01599999999999996
"Moniak, Mickey","666160","2024","336","229",0.224,0.222,0.0020000000000000018,0.36,0.376,-0.016000000000000014,0.272,0.277,-0.0050000000000000044
"Fry, David","681807","2024","336","220",0.266,0.251,0.015000000000000013,0.448,0.403,0.044999999999999984,0.351,0.332,0.01899999999999996
"Buxton, Byron","621439","2024","335","218",0.275,0.263,0.01200000000000001,0.528,0.514,0.014000000000000012,0.366,0.356,0.010000000000000009
"Crawford, J.P.","641487","2024","335","219",0.204,0.236,-0.032,0.347,0.388,-0.041000000000000036,0.288,0.316,-0.028000000000000025
